pidp,a_sex,a_dvage,a_ukborn,a_racel,a_hlht,a_hlhtf,a_hlhti,a_hlhtc,a_hlwt,a_hlwts,a_hlwtp,a_hlwtk,a_vote1,a_vote2,a_vote3,a_vote4,a_vote5,a_vote6
68188367,2,40,1,1,1,5,10,-8,3,-8,-8,-8,2,2,1,-8,3,2
68189727,2,95,3,1,1,5,4,-8,1,10,3,-8,1,-8,-8,1,2,3
68190407,1,86,1,1,1,5,11,-8,1,10,7,-8,1,-8,-8,2,3,1
68190411,2,79,1,1,1,5,2,-8,1,12,0,-8,1,-8,-8,2,1,1
68190415,1,53,1,1,1,6,0,-8,1,16,4,-8,1,-8,-8,2,3,3
68191087,2,47,1,1,1,5,4,-8,1,9,10,-8,2,2,1,-8,3,4
68191091,1,21,1,1,1,5,11,-8,1,9,8,-8,2,2,2,-8,3,2
68191095,2,19,1,1,1,5,5,-8,1,8,12,-8,2,2,95,-8,-8,4
68191099,1,17,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
68191767,1,44,1,1,1,6,0,-8,1,18,0,-8,2,2,95,-8,-8,4
68191771,2,37,1,1,1,5,1,-8,1,14,0,-8,2,1,-8,1,3,2
68193127,2,56,1,1,1,5,4,-8,1,9,0,-8,1,-8,-8,3,2,2
68193131,1,21,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
68193135,1,17,1,1,1,5,11,-8,3,-8,-8,-8,2,2,3,-8,3,3
68195167,1,66,1,1,1,6,0,-8,1,11,10,-8,2,2,2,-8,3,2
68195171,2,66,1,1,1,5,2,-8,1,10,8,-8,2,1,-8,2,3,2
68195847,1,39,1,1,1,5,9,-8,1,17,0,-8,2,1,-8,3,3,4
68195851,2,35,1,1,1,5,4,-8,1,15,0,-8,2,2,95,-8,-8,4
68197207,1,39,1,1,1,5,8,-8,1,18,0,-8,2,2,95,-8,-8,2
68197211,2,35,1,1,1,5,5,-8,1,12,0,-8,2,2,1,-8,3,3
68197887,2,48,1,1,1,5,5,-8,1,11,0,-8,2,2,-1,-8,-8,4
68197891,1,18,1,1,1,6,2,-8,1,13,8,-8,2,1,-8,2,3,1
68199247,1,25,1,1,1,5,11,-8,2,-8,-8,92,2,2,1,-8,3,3
68199251,2,24,1,1,1,5,4,-8,1,10,12,-8,2,2,1,-8,3,3
68201967,2,58,1,1,1,5,3,-8,1,14,0,-8,2,1,-8,2,3,2
68201971,1,75,1,1,1,5,10,-8,1,14,0,-8,1,-8,-8,2,2,2
68202647,2,34,1,1,1,5,3,-8,1,8,4,-8,2,2,95,-8,-8,4
68206047,2,78,5,1,1,5,2,-8,1,11,0,-8,1,-8,-8,1,3,2
68206051,1,86,5,4,1,5,10,-8,1,12,0,-8,2,2,95,-8,-8,2
68207407,2,64,1,1,1,5,7,-8,-1,-8,-8,-8,1,-8,-8,1,3,2
68207411,1,70,1,1,1,5,7,-8,1,12,7,-8,1,-8,-8,1,2,1
68208087,2,33,5,4,1,5,4,-8,2,-8,-8,59,2,2,96,-8,-8,4
68209447,2,39,1,9,2,-8,-8,154,2,-8,-8,55,2,2,1,-8,2,3
